,Facebook,Google,Twitter,Hits
89,61.81,17.85,51.38,9.03
90,76.86,33.46,35.98,11.69
91,94.01,3.43,6.51,7.84
92,20.02,1.05,23.1,5.11
93,152.39,23.45,41.3,13.58
94,175.63,25.55,50.61,15.54
95,75.18,9.8,7.63,8.05
96,114.31,22.12,37.03,11.83
97,138.32,2.45,4.13,8.19
98,129.43,14.7,15.4,10.85
99,202.79,29.61,35.84,17.78
100,94.64,29.19,32.13,12.04
101,155.68,3.01,34.86,8.19
102,207.48,25.41,70.63,16.66
103,196.14,7.07,14.98,10.36
104,131.53,12.04,12.53,10.29
105,166.74,24.01,3.71,14.49
106,96.53,32.48,41.3,13.44
107,17.5,7.7,20.79,5.04
108,63.28,0.21,16.24,6.09
109,9.17,0.28,17.92,3.71
110,178.78,18.83,3.85,13.86
111,158.06,5.74,39.55,9.38
112,169.19,26.6,16.24,15.26
113,122.99,10.78,1.68,9.87
114,146.72,14.42,7.49,11.13
115,54.74,32.76,24.15,10.22
116,52.57,24.5,36.89,8.82
117,97.44,10.01,17.92,8.54
118,53.48,0.56,10.36,6.58
119,87.99,25.83,55.44,11.13
120,13.58,11.2,15.61,4.62
121,98.91,18.76,32.34,10.85
122,13.16,15.19,35.28,4.9
123,156.8,1.68,10.92,8.12
124,86.17,24.22,8.68,10.64
125,160.65,22.61,51.94,13.79
126,61.04,8.26,18.13,7.42
127,5.46,27.23,35.42,4.62
128,56.14,0,6.44,6.16
129,154.21,34.3,2.24,17.29
130,41.72,8.4,30.17,6.79
131,0.49,27.72,6.09,1.12
132,185.64,2.03,30.1,8.89
133,5.88,19.04,1.47,3.99
134,153.86,23.45,31.57,13.72
135,25.83,27.02,45.92,7.56
136,33.81,32.9,5.95,8.12
137,17.92,27.3,6.51,6.65
138,191.59,20.23,41.79,14.56
139,30.1,18.13,14.35,6.72
140,129.43,30.73,1.19,14.49
141,51.38,11.9,9.03,7.63
142,135.59,24.78,52.92,13.44
143,154.35,23.24,26.53,14.07
144,73.22,3.99,24.08,7.28
145,67.34,10.36,27.23,7.98
146,98.21,1.33,6.3,7.21
147,168.07,5.11,6.09,9.24
148,170.24,34.3,31.01,17.78
149,26.6,28.21,8.33,7.63
150,31.29,18.06,14.42,7.07
151,196.49,9.73,25.9,11.27
152,84.7,5.88,34.09,8.12
153,138.32,16.31,9.94,11.62
154,119.91,27.79,26.39,13.3
155,131.46,14.77,6.65,10.92
156,2.87,8.12,3.99,2.24
157,65.73,30.45,35.35,10.71
158,104.86,0.91,17.01,7.07
159,8.19,25.83,31.64,5.11
160,92.19,12.88,24.22,9.03
161,120.75,12.67,21.49,10.08
162,59.99,25.06,34.51,9.31
163,131.88,12.67,17.92,10.43
164,114.45,25.76,5.18,12.6
165,82.04,10.29,3.78,8.33
166,164.15,2.38,59.36,8.33
167,12.53,26.32,15.12,5.6
168,144.76,3.64,13.58,8.54
169,150.78,16.52,40.32,11.97
170,199.01,7.42,4.48,10.5
171,35,8.12,12.88,5.88
172,115.15,14.63,33.18,10.15
173,13.72,14.07,11.9,5.32
174,117.88,4.97,8.96,8.19
175,155.68,2.38,9.17,8.05
176,193.83,34.23,29.26,18.9
177,173.88,21.14,14.21,14.14
178,119.14,5.46,24.64,8.19
179,193.69,1.61,16.59,8.26
180,115.92,7,12.32,8.82
181,109.62,1.82,5.81,7.35
182,152.95,3.78,19.18,8.54
183,39.34,3.99,20.79,6.09
184,201.32,30.1,50.26,18.34
185,177.66,14.91,21,12.32
186,143.5,31.57,13.72,15.82
187,97.65,1.47,18.62,7.21
188,133.77,20.09,12.74,12.11
189,200.2,9.73,2.59,11.13
190,13.09,8.47,16.38,4.69
191,27.65,28.77,4.06,7.56
192,52.85,7.56,4.2,6.93
193,12.04,2.87,22.12,4.13
194,116.76,29.4,2.52,13.72
195,104.79,24.92,4.2,12.11
196,26.74,2.59,9.66,5.32
197,65.94,3.43,5.67,6.79
198,123.9,6.51,4.48,8.96
199,198.52,29.4,46.34,17.85
200,162.47,6.02,6.09,9.38
